                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.8001,                 1.6859,                 1.7434,                0.70934,                0.56631,                 0.6264,                0.27966,                 1.9837,                 1.6264,                 1.7897,             7.6523e-05,             7.6523e-05,             7.6523e-05
                     56,                 1.7902,                 1.6729,                 1.7379,                0.69032,                0.57788,                 0.6187,                0.30976,                 1.8414,                 1.6224,                 1.7202,             7.4929e-05,             7.4929e-05,             7.4929e-05
                     57,                 1.7828,                 1.6527,                 1.7264,                0.74114,                0.57368,                0.63278,                0.27661,                 2.0211,                 1.6029,                  1.793,             7.3335e-05,             7.3335e-05,             7.3335e-05
                     58,                 1.7698,                 1.6488,                 1.7277,                0.71888,                0.55998,                0.60381,                0.26879,                 2.0248,                 1.6082,                  1.801,             7.1742e-05,             7.1742e-05,             7.1742e-05
                     59,                 1.7713,                 1.6506,                 1.7218,                0.72771,                0.55375,                0.62723,                0.27639,                 2.0566,                 1.5986,                 1.8067,             7.0148e-05,             7.0148e-05,             7.0148e-05
                     60,                 1.7654,                 1.6418,                 1.7172,                0.75186,                0.55826,                0.63472,                0.27675,                 1.9908,                 1.6281,                 1.7889,             6.8554e-05,             6.8554e-05,             6.8554e-05
                     61,                  1.749,                 1.6284,                 1.7054,                 0.7029,                0.55679,                0.60159,                 0.2514,                 2.0891,                 1.6334,                 1.8365,              6.696e-05,              6.696e-05,              6.696e-05
                     62,                 1.7632,                 1.6163,                 1.7045,                0.73474,                0.56689,                0.63425,                0.29286,                  1.947,                 1.5757,                 1.7568,             6.5366e-05,             6.5366e-05,             6.5366e-05
                     63,                 1.7431,                 1.6033,                 1.7009,                0.71589,                0.56705,                0.63267,                 0.2843,                  2.004,                 1.6007,                 1.7767,             6.3772e-05,             6.3772e-05,             6.3772e-05
                     64,                 1.7478,                 1.5921,                 1.6987,                0.69886,                0.57476,                0.61881,                0.28136,                 2.0143,                 1.5895,                 1.7875,             6.2178e-05,             6.2178e-05,             6.2178e-05
                     65,                 1.7465,                 1.5918,                 1.6912,                0.74631,                0.59119,                0.64723,                0.30133,                 1.9215,                 1.5568,                  1.733,             6.0584e-05,             6.0584e-05,             6.0584e-05
                     66,                 1.7461,                 1.6004,                  1.696,                 0.7255,                0.56762,                0.62682,                0.29148,                 1.9719,                 1.5844,                 1.7644,              5.899e-05,              5.899e-05,              5.899e-05
                     67,                 1.7482,                 1.5956,                 1.7011,                0.69172,                 0.5874,                0.62893,                0.28421,                 1.9709,                 1.5829,                  1.756,             5.7396e-05,             5.7396e-05,             5.7396e-05
                     68,                 1.7344,                 1.5838,                 1.6808,                0.72422,                0.58764,                0.63771,                0.27879,                  2.036,                 1.5711,                 1.7864,             5.5803e-05,             5.5803e-05,             5.5803e-05
                     69,                 1.7301,                 1.5676,                 1.6803,                0.72419,                0.59269,                 0.6437,                0.28894,                 1.9771,                 1.5727,                 1.7518,             5.4209e-05,             5.4209e-05,             5.4209e-05
                     70,                  1.713,                 1.5431,                 1.6714,                0.74191,                0.58284,                0.63773,                0.27598,                 2.0246,                 1.5919,                 1.7916,             5.2615e-05,             5.2615e-05,             5.2615e-05
                     71,                 1.7232,                 1.5792,                 1.6858,                 0.7122,                0.58276,                0.63202,                 0.2725,                 2.0613,                 1.5734,                 1.7983,             5.1021e-05,             5.1021e-05,             5.1021e-05
                     72,                 1.7222,                 1.5465,                 1.6656,                0.72805,                0.57633,                 0.6296,                 0.2874,                 1.9671,                 1.5481,                 1.7398,             4.9427e-05,             4.9427e-05,             4.9427e-05
                     73,                 1.7116,                 1.5317,                 1.6612,                0.73127,                  0.598,                0.64783,                0.29416,                 1.9844,                 1.5363,                 1.7424,             4.7833e-05,             4.7833e-05,             4.7833e-05
                     74,                 1.7333,                 1.5683,                 1.6825,                0.74023,                0.59447,                0.64352,                0.30163,                 1.8879,                 1.5257,                 1.7005,             4.6239e-05,             4.6239e-05,             4.6239e-05
                     75,                 1.7221,                 1.5527,                  1.672,                0.76414,                0.60847,                0.65013,                0.30318,                 1.9264,                 1.5192,                 1.7199,             4.4645e-05,             4.4645e-05,             4.4645e-05
                     76,                 1.6976,                 1.5199,                 1.6606,                0.75312,                0.59451,                0.64334,                 0.2885,                 1.9871,                 1.5294,                 1.7561,             4.3051e-05,             4.3051e-05,             4.3051e-05
                     77,                 1.7099,                 1.5358,                 1.6621,                0.74884,                0.59971,                0.64452,                0.30707,                 1.9009,                 1.5223,                 1.7054,             4.1458e-05,             4.1458e-05,             4.1458e-05
                     78,                 1.7144,                 1.5406,                 1.6709,                0.77356,                0.57858,                0.64611,                 0.3019,                 1.9396,                 1.5423,                 1.7225,             3.9864e-05,             3.9864e-05,             3.9864e-05
                     79,                 1.7053,                 1.5384,                 1.6663,                0.77746,                0.59467,                0.64803,                0.30077,                 1.9465,                 1.5294,                 1.7284,              3.827e-05,              3.827e-05,              3.827e-05
                     80,                 1.6999,                 1.5131,                 1.6554,                0.74423,                0.59764,                0.64433,                0.29431,                 1.9815,                 1.5151,                 1.7466,             3.6676e-05,             3.6676e-05,             3.6676e-05
                     81,                 1.6931,                 1.5224,                 1.6553,                0.79246,                0.59187,                0.64884,                0.30139,                 1.9413,                 1.5097,                 1.7257,             3.5082e-05,             3.5082e-05,             3.5082e-05
                     82,                 1.7166,                   1.53,                 1.6699,                0.77136,                0.58866,                0.64676,                0.28053,                 2.0387,                 1.5172,                 1.7773,             3.3488e-05,             3.3488e-05,             3.3488e-05
                     83,                 1.7014,                 1.5124,                 1.6541,                0.77316,                0.59138,                0.65244,                0.31121,                 1.8813,                 1.5198,                  1.695,             3.1894e-05,             3.1894e-05,             3.1894e-05
                     84,                 1.6966,                 1.5192,                 1.6538,                0.76838,                0.58888,                0.64536,                0.29597,                 1.9485,                 1.4967,                 1.7342,               3.03e-05,               3.03e-05,               3.03e-05
                     85,                 1.6958,                 1.5002,                 1.6455,                0.75869,                 0.5948,                0.65518,                0.31221,                 1.8849,                 1.4739,                 1.6872,             2.8706e-05,             2.8706e-05,             2.8706e-05
                     86,                  1.688,                 1.4949,                 1.6386,                0.76652,                0.60953,                0.65111,                0.29182,                 1.9929,                 1.5193,                  1.755,             2.7112e-05,             2.7112e-05,             2.7112e-05
                     87,                 1.6918,                 1.5062,                 1.6523,                0.80428,                0.58826,                 0.6486,                0.30176,                 1.9477,                 1.5123,                 1.7192,             2.5519e-05,             2.5519e-05,             2.5519e-05
                     88,                 1.6835,                 1.4937,                 1.6338,                0.77155,                 0.5896,                0.65258,                0.30794,                 1.9277,                 1.4891,                  1.718,             2.3925e-05,             2.3925e-05,             2.3925e-05
                     89,                 1.6924,                 1.5088,                 1.6577,                0.79286,                0.60287,                0.65546,                0.30407,                 1.9323,                 1.4985,                 1.7147,             2.2331e-05,             2.2331e-05,             2.2331e-05
                     90,                 1.6898,                 1.5066,                 1.6486,                0.76386,                0.60887,                0.65224,                0.30968,                 1.9095,                 1.4807,                  1.702,             2.0737e-05,             2.0737e-05,             2.0737e-05
                     91,                 1.6224,                 1.4246,                 1.6642,                0.78518,                0.59522,                0.64842,                0.29825,                 1.9647,                 1.5056,                 1.7342,             1.9143e-05,             1.9143e-05,             1.9143e-05
                     92,                 1.5993,                 1.3875,                 1.6535,                0.80698,                0.60772,                0.66047,                0.30024,                  1.976,                 1.4958,                 1.7329,             1.7549e-05,             1.7549e-05,             1.7549e-05
                     93,                 1.5969,                 1.3675,                 1.6423,                0.80222,                0.59863,                0.65842,                 0.3133,                 1.9044,                 1.4848,                 1.6914,             1.5955e-05,             1.5955e-05,             1.5955e-05
                     94,                 1.5983,                  1.358,                 1.6482,                0.81703,                0.60047,                0.66224,                0.30492,                 1.9397,                 1.4843,                 1.7127,             1.4361e-05,             1.4361e-05,             1.4361e-05
                     95,                 1.5809,                 1.3491,                 1.6349,                0.79703,                0.60858,                0.65914,                0.30658,                  1.943,                 1.4881,                 1.7112,             1.2767e-05,             1.2767e-05,             1.2767e-05
                     96,                 1.5831,                 1.3528,                 1.6261,                0.79502,                0.60277,                0.65349,                0.30482,                  1.949,                 1.4902,                 1.7171,             1.1173e-05,             1.1173e-05,             1.1173e-05
                     97,                 1.5841,                 1.3391,                 1.6309,                0.81363,                 0.6233,                 0.6686,                0.31288,                 1.9093,                 1.4806,                 1.6926,             9.5795e-06,             9.5795e-06,             9.5795e-06
                     98,                 1.5738,                 1.3406,                 1.6348,                0.81048,                0.61117,                0.66612,                0.30924,                 1.9347,                 1.4777,                  1.706,             7.9856e-06,             7.9856e-06,             7.9856e-06
                     99,                 1.5731,                 1.3401,                 1.6374,                0.82147,                 0.6065,                0.67037,                 0.3124,                 1.9107,                 1.4718,                 1.6923,             6.3917e-06,             6.3917e-06,             6.3917e-06
                    100,                 1.5768,                 1.3364,                 1.6338,                0.81574,                0.60297,                0.66766,                0.30904,                 1.9276,                 1.4761,                 1.7013,             4.7978e-06,             4.7978e-06,             4.7978e-06
